id,date,phase,cluster,strategy,hypothesis,data,test_period,oos_period,oos_cagr,oos_sharpe,max_dd,costs,n_configs,status,file,notes
L11,2026-08-27,legacy,accumulation,DCA,Dollar-cost averaging (not a trading strategy),Coinbase daily SOL,5y,,,,,fees,1,N/A,dca_backtest.py,+109% over 5y; negative on every window starting in the last 2.5y
L12,2026-09-08,legacy,daily-bar-TA,10 candlestick patterns,Published candlestick setups,Coinbase daily 23 pairs + hourly retest,up to 11y,65/35 split,,,,0.3%/side + 0.05% slip,10,FAIL,candle_strats_backtest.py,8/10 negative both halves; daily positives died on hourly retest
L13,2026-09-08,legacy,daily-bar-TA,23 systematic strategies,Turtle/MA/MACD/Ichimoku/Keltner/Bollinger/Connors etc.,Coinbase daily 23 pairs,up to 11y,65/35 split,,,,0.3%/side + 0.05% slip,23,FAIL,more_strats_backtest.py,trend OOS 0.00-0.10x; best mean-reversion positive on 12/23 symbols only
L14,2026-09-08,legacy,daily-bar-TA,Connors RSI walk-forward (crypto),Anchored WF re-fit of CRSI thresholds,Coinbase daily 23 pairs,up to 11y,126-bar WF blocks,-25% median,,-44% median,0.3%/side,1,FAIL,crsi_walkforward.py,positive on 6/23 symbols
L15,2026-09-08,legacy,cross-sectional-crypto,cross-sectional crypto (15 configs),Relative momentum / reversal / regime-filtered,Coinbase daily 23 coins,up to 11y,65/35 split,-4% to -37%,,-86% to -99%,0.3%/side,15,FAIL,xsectional_backtest.py,every config below EW basket in both halves
L16,2026-09-08,legacy,daily-bar-TA,6 classics on US ETFs/stocks,RSI2 / Donchian / SMA50-200 / abs momentum / Bollinger,Yahoo daily 12 instruments 15y,15y,65/35 split,,,,0.05%/side,6,FAIL,classic_on_stocks.py,"pooled ""6.07x"" was a pooling artifact"
L17,2026-09-08,legacy,daily-bar-TA,Connors RSI2 per-instrument WF (US ETFs),One account per ETF anchored WF,Yahoo daily 19 ETFs,15y+,126d WF blocks,+1.1% median,,-15% median,0.05%/side,1,FAIL,connors_rsi2_walkforward.py,vs buy & hold +10.1% median CAGR; beats B&H on 2/19
L18,2026-09-10,legacy,trend-following,diversified TSMOM,Moskowitz-Ooi-Pedersen 21/63/252 vol-targeted,Yahoo 19 ETFs + 16 futures,2004-2026,post-pub 2012+,,0.26,-24%,5bp/side,1,FAIL,research/run_study.py,SR 0.30 vs SPY 0.55; DSR 0.035; WTMF live excess SR 0.00
L19,2026-09-10,legacy,relative-value,pairs trading (distance method),Gatev-Goetzmann-Rouwenhorst,Yahoo 106 US large caps (survivors),1993-2026,rolling formation/trade,+2.1%,0.38,-14%,5bp/leg + 0.3%/yr borrow,1,FAIL,research/run_pairs.py,SR -0.18 in 2010-17; DSR 0.87; dead since ~2010
L20,2026-09-10,legacy,equity-anomalies-survivors,6 equity anomalies (survivor universe),mom_12_1 / mom_6_1 / strev_21 / strev_5 / lowvol / beta_low,Yahoo 106 US large caps (survivors),1993-2026,eras,,0.25 best L/S,,5bp/side,6,FAIL,research/run_anomalies.py,0/6 long-only beat the equal-weight no-signal control
L21,2026-09-10,legacy,carry,CME BTC basis carry,Long spot / short dated future to expiry,Yahoo BTC=F vs BTC-USD,2017-2026,106 monthly cycles,-1.5%/yr net,,,0.10%/cycle institutional,1,FAIL,research/run_carry.py,vs T-bills +3.8%/yr; beat cash in 40/106 cycles
P1-H01,2026-09-11,phase1,VRP,CBOE PutWrite index (^PUT),Systematic at-the-money put-writing earns the volatility risk premium,"Yahoo ^PUT 1996->, ^IRX",1996-08-05..2026-09-10,2008-01-02..2026-09-10,+5.1% ex-cash,0.37,-38%,0.50%/yr drag (2x: 1.00%),1,FAIL,research/run_phase1.py,"failed G2,G3"
P1-H02,2026-09-11,phase1,VRP,SVXY buy & hold (short VIX futures),Shorting VIX futures earns the roll-down / variance risk premium,"Yahoo SVXY 2011->, ^IRX",2011-10-05..2026-09-10,2011-10-05..2026-09-10,+10.8% ex-cash,0.54,-95%,5bp entry (2x: 10bp),1,FAIL,research/run_phase1.py,"failed G2,G3,G9"
P1-H03,2026-09-11,phase1,VRP,SVXY only when VIX < VIX3M,"Short vol pays in contango and loses in backwardation, so timing it on the VIX term structure keeps the premium and sidesteps the blow-ups","Yahoo SVXY, ^VIX, ^VIX3M, ^VIX9D 2011->",2011-10-05..2026-09-10,2015-01-02..2026-09-10,+21.0% ex-cash,0.68,-55%,5bp/side (2x: 10bp),5,FAIL,research/run_phase1.py,"failed G2,G3"
P1-H04,2026-09-11,phase1,FOMC,Pre-FOMC drift (SPY close[d-1] -> close[d]),US equities earn an abnormal return in the 24h before scheduled FOMC statements (uncertainty-resolution premium),"federalreserve.gov calendars 1994->, Yahoo SPY/QQQ/IWM, ^IRX",1994-01-03..2026-09-10,2012-01-03..2026-09-10,+0.6% ex-cash,0.22,-9%,1bp/side SPY (2x: 2bp),6,FAIL,research/run_phase1.py,"failed G1,G2,G3,G7"
P1-H05,2026-09-11,phase1,OVERNIGHT,Overnight-only SPY (close -> next open),The equity premium accrues overnight; holding only close-to-open keeps it with half the time in the market,"Yahoo SPY/QQQ/DIA/IWM/sector SPDR OHLC 1993->, ^IRX; NSPY/NIWM live",1993-02-01..2026-09-10,2009-01-02..2026-09-10,+1.9% ex-cash,0.23,-30%,"1bp/side SPY, 2 sides/day (2x: 2bp)",13,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G6"
P1-H06,2026-09-11,phase1,TOM,Turn of the month (SPY days -1..+3),Equity returns concentrate in the last trading day and first three of each month (payroll and pension inflows),"Yahoo SPY/QQQ/IWM/DIA 1993->, ^IRX; French CRSP market 1926-> (reported)",1993-02-01..2026-09-10,1993-02-01..2026-09-10,+2.8% ex-cash,0.39,-19%,1bp/side SPY (2x: 2bp),9,FAIL,research/run_phase1.py,"failed G2,G3"
P1-H07,2026-09-11,phase1,VOLMGD,Volatility-managed SPY (cap 1.0),"Cutting equity exposure when last month's realised variance is high raises the Sharpe ratio, because expected returns do not rise with volatility","Yahoo SPY 1993->, ^IRX; French CRSP market 1926-> (reported)",1993-02-01..2026-09-10,2017-01-03..2026-09-10,+10.1% ex-cash,0.74,-25%,1bp/side on |dw| (2x: 2bp),5,FAIL,research/run_phase1.py,"failed G2,G3,G7"
P1-H08-SMB,2026-09-11,phase1,SMB,L/S size (small minus big),The size (small minus big) premium survives publication and trading costs,"Ken French library, CRSP (SMB)",1926-07..2026-07,1982-01..2026-07,-1.4% ex-cash,-0.08,-61%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H08-HML,2026-09-11,phase1,HML,L/S value (high minus low book-to-market),The value (high minus low book-to-market) premium survives publication and trading costs,"Ken French library, CRSP (HML)",1926-07..2026-07,1986-01..2026-07,+0.6% ex-cash,0.11,-63%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G8"
P1-H08-UMD,2026-09-11,phase1,UMD,L/S momentum (12-2),The momentum (12-2) premium survives publication and trading costs,"Ken French library, CRSP (Mom)",1927-01..2026-07,1994-01..2026-07,+0.0% ex-cash,0.09,-67%,3.0%/yr drag (2x: 6.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G8"
P1-H08-STR,2026-09-11,phase1,STR,L/S short-term reversal (1-0),The short-term reversal (1-0) premium survives publication and trading costs,"Ken French library, CRSP (ST_Rev)",1926-02..2026-07,1991-01..2026-07,-6.6% ex-cash,-0.49,-92%,8.0%/yr drag (2x: 16.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H08-LTR,2026-09-11,phase1,LTR,L/S long-term reversal (60-13),The long-term reversal (60-13) premium survives publication and trading costs,"Ken French library, CRSP (LT_Rev)",1931-01..2026-07,1986-01..2026-07,-0.4% ex-cash,0.00,-64%,1.5%/yr drag (2x: 3.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G6,G8"
P1-H08-RMW,2026-09-11,phase1,RMW,L/S profitability (robust minus weak),The profitability (robust minus weak) premium survives publication and trading costs,"Ken French library, CRSP (RMW)",1963-07..2026-07,2014-01..2026-07,+1.2% ex-cash,0.19,-28%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G8"
P1-H08-CMA,2026-09-11,phase1,CMA,L/S investment (conservative minus aggressive),The investment (conservative minus aggressive) premium survives publication and trading costs,"Ken French library, CRSP (CMA)",1963-07..2026-07,2005-01..2026-07,-1.0% ex-cash,-0.11,-31%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H08-AC,2026-09-11,phase1,AC,L/S accruals (low minus high),The accruals (low minus high) premium survives publication and trading costs,"Ken French library, CRSP (Portfolios_Formed_on_AC)",1963-07..2026-07,1997-01..2026-07,+0.7% ex-cash,0.12,-32%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G8"
P1-H08-NI,2026-09-11,phase1,NI,L/S net share issuance (low minus high),The net share issuance (low minus high) premium survives publication and trading costs,"Ken French library, CRSP (Portfolios_Formed_on_NI)",1963-07..2026-07,2009-01..2026-07,-1.7% ex-cash,-0.07,-50%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H08-BETA,2026-09-11,phase1,BETA,L/S low beta (low minus high),The low beta (low minus high) premium survives publication and trading costs,"Ken French library, CRSP (Portfolios_Formed_on_BETA)",1963-07..2026-07,1973-01..2026-07,-6.1% ex-cash,-0.19,-98%,1.0%/yr drag (2x: 2.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H08-RESVAR,2026-09-11,phase1,RESVAR,L/S low residual variance (low minus high),The low residual variance (low minus high) premium survives publication and trading costs,"Ken French library, CRSP (Portfolios_Formed_on_RESVAR)",1963-07..2026-07,2007-01..2026-07,-6.4% ex-cash,-0.17,-88%,3.0%/yr drag (2x: 6.0%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6,G8"
P1-H09-SMB,2026-09-11,phase1,SMB,long-only size (small minus big) tilt,A long-only tilt toward size beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_ME, VW Lo 20); live ETFs",1926-07..2026-07,1982-01..2026-07,-1.6% ex-cash,-0.07,-74%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H09-HML,2026-09-11,phase1,HML,long-only value (high minus low book-to-market) tilt,A long-only tilt toward value beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_BE-ME, VW Hi 20); live ETFs",1926-07..2026-07,1986-01..2026-07,+1.8% ex-cash,0.23,-53%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G9"
P1-H09-UMD,2026-09-11,phase1,UMD,long-only momentum (12-2) tilt,A long-only tilt toward momentum beats the market after costs,"Ken French library, CRSP (10_Portfolios_Prior_12_2, VW Hi PRIOR); live ETFs",1927-01..2026-07,1994-01..2026-07,+1.9% ex-cash,0.20,-42%,1.50%/yr drag (2x: 3.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G6"
P1-H09-STR,2026-09-11,phase1,STR,long-only short-term reversal (1-0) tilt,A long-only tilt toward short-term reversal beats the market after costs,"Ken French library, CRSP (10_Portfolios_Prior_1_0, VW Lo PRIOR); live ETFs",1926-07..2026-07,1991-01..2026-07,-5.8% ex-cash,-0.25,-90%,4.00%/yr drag (2x: 8.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H09-LTR,2026-09-11,phase1,LTR,long-only long-term reversal (60-13) tilt,A long-only tilt toward long-term reversal beats the market after costs,"Ken French library, CRSP (10_Portfolios_Prior_60_13, VW Lo PRIOR); live ETFs",1931-01..2026-07,1986-01..2026-07,+1.0% ex-cash,0.14,-68%,0.75%/yr drag (2x: 1.50%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3"
P1-H09-RMW,2026-09-11,phase1,RMW,long-only profitability (robust minus weak) tilt,A long-only tilt toward profitability beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_OP, VW Hi 20); live ETFs",1963-07..2026-07,2014-01..2026-07,+0.3% ex-cash,0.09,-16%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G6,G9"
P1-H09-CMA,2026-09-11,phase1,CMA,long-only investment (conservative minus aggressive) tilt,A long-only tilt toward investment beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_INV, VW Lo 20); live ETFs",1963-07..2026-07,2005-01..2026-07,-0.1% ex-cash,0.01,-28%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H09-AC,2026-09-11,phase1,AC,long-only accruals (low minus high) tilt,A long-only tilt toward accruals beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_AC, VW Lo 20); live ETFs",1963-07..2026-07,1997-01..2026-07,+1.2% ex-cash,0.22,-17%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G6"
P1-H09-NI,2026-09-11,phase1,NI,long-only net share issuance (low minus high) tilt,A long-only tilt toward net share issuance beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_NI, VW Lo 20); live ETFs",1963-07..2026-07,2009-01..2026-07,-2.9% ex-cash,-0.47,-45%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H09-BETA,2026-09-11,phase1,BETA,long-only low beta (low minus high) tilt,A long-only tilt toward low beta beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_BETA, VW Lo 20); live ETFs",1963-07..2026-07,1973-01..2026-07,-1.6% ex-cash,-0.13,-72%,0.50%/yr drag (2x: 1.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H09-RESVAR,2026-09-11,phase1,RESVAR,long-only low residual variance (low minus high) tilt,A long-only tilt toward low residual variance beats the market after costs,"Ken French library, CRSP (Portfolios_Formed_on_RESVAR, VW Lo 20); live ETFs",1963-07..2026-07,2007-01..2026-07,-1.6% ex-cash,-0.33,-39%,1.50%/yr drag (2x: 3.00%),3,FAIL,research/run_phase1.py,"failed G1,G2,G3,G4,G5,G6"
P1-H10-LS,2026-09-11,phase1,INDMOM,"L/S industry momentum (49 industries, 12-1)",Industries that outperformed over the past year (skipping the last month) keep outperforming next month,"Ken French 49 industry portfolios (VW), CRSP 1926->",1927-07..2026-07,2000-01..2026-07,+0.9% ex-cash,0.15,-58%,2.0%/yr drag (2x: 4.0%),5,FAIL,research/run_phase1.py,"failed G1,G2,G3,G8"
P1-H10-LO,2026-09-11,phase1,INDMOM,Long-only industry momentum vs EW industries,Holding only last year's winning industries beats holding all industries equally,"Ken French 49 industry portfolios (VW), CRSP 1926->; SPDR sector ETFs (reported)",1927-07..2026-07,2000-01..2026-07,+0.8% ex-cash,0.13,-39%,1.0%/yr drag (2x: 2.0%),5,FAIL,research/run_phase1.py,"failed G1,G2,G3"
P1-H01-A1,2026-09-11,phase1,VRP,CBOE PutWrite index (^PUT) [amendment A1],Systematic at-the-money put-writing earns the volatility risk premium,"Yahoo ^PUT 1996->, ^IRX",1996-08-05..2026-09-10,2008-01-02..2026-09-10,+5.1% ex-cash,0.43,-38%,0.50%/yr drag (2x: 1.00%),1,FAIL,research/run_phase1.py,"amendment A1 (index bad-print fix), reported alongside P1-H01; failed G2,G3"
EN-E1-H5,2026-09-11,engine,intraday-engine,"Prediction engine E1 (pasted TradingView prompt as fixed rules), 1-5 min call","A multi-timeframe, regime-weighted indicator engine calls the next 5 minutes better than no-skill controls and its BUY/SELL actions profit after costs",Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin/yr: +26% free, -97% at 0.05%/side, -100% retail; stocks -0.5% free, -2.0% retail (19 sessions)",,-100% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; up/down hit crypto 26.2% vs shuffled 28.3% (z -18), sign hit 46.9%; stocks 25.2% vs 29.3%, sign 46.9%"
EN-E1-H30,2026-09-11,engine,intraday-engine,"Prediction engine E1 (pasted TradingView prompt as fixed rules), 5-30 min call","A multi-timeframe, regime-weighted indicator engine calls the next 30 minutes better than no-skill controls and its BUY/SELL actions profit after costs",Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin/yr: +26% free, -97% at 0.05%/side, -100% retail; stocks -0.5% free, -2.0% retail (19 sessions)",,-100% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; crypto hit 25.6% vs shuffled 30.3% (z -41), sign 46.1%, stated 70-80% -> actual 27%; stocks 22.8% vs 30.7%, sign 46.4%, stated 73% -> 19%"
EN-E1-H120,2026-09-11,engine,intraday-engine,"Prediction engine E1 (pasted TradingView prompt as fixed rules), 30-120 min call","A multi-timeframe, regime-weighted indicator engine calls the next 120 minutes better than no-skill controls and its BUY/SELL actions profit after costs",Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin/yr: +26% free, -97% at 0.05%/side, -100% retail; stocks -0.5% free, -2.0% retail (19 sessions)",,-100% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; crypto hit 24.8% vs shuffled 33.0% (z -78), sign 45.7%; stocks 19.8% vs 25.1%, sign 52.3% (~2.2k calls, 19 sessions)"
EN-E2-H5,2026-09-11,engine,intraday-engine,"Prediction engine E2 = E1 + learning filter (issue only call types whose resolved record beats base rate +5pp), 1-5 min call",Filtering the engine's calls by their own resolved track record produces calls for the next 5 minutes that beat no-skill controls and profit after costs,Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto 764 trades: +0.8% free, -92.7% retail; stocks: no trades",,-93% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; crypto called up/down on 2.6% of decisions, hit 27.7% vs shuffled 29.0%; stocks: no call type ever qualified -> 0 calls"
EN-E2-H30,2026-09-11,engine,intraday-engine,"Prediction engine E2 = E1 + learning filter (issue only call types whose resolved record beats base rate +5pp), 5-30 min call",Filtering the engine's calls by their own resolved track record produces calls for the next 30 minutes that beat no-skill controls and profit after costs,Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto 764 trades: +0.8% free, -92.7% retail; stocks: no trades",,-93% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; crypto 4.0% of decisions, hit 25.8% vs shuffled 30.7% (z -10); stocks 0 calls"
EN-E2-H120,2026-09-11,engine,intraday-engine,"Prediction engine E2 = E1 + learning filter (issue only call types whose resolved record beats base rate +5pp), 30-120 min call",Filtering the engine's calls by their own resolved track record produces calls for the next 120 minutes that beat no-skill controls and profit after costs,Coinbase 1m BTC-USD/ETH-USD; Yahoo 1m SPY/QQQ/NVDA/TSLA + native 5m/15m/60m,crypto 2025-09-25..2026-09-11; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto 764 trades: +0.8% free, -92.7% retail; stocks: no trades",,-93% (crypto retail),crypto 0/0.05/0.35%/side; stocks 0/0.01/0.02%/side,1,FAIL,research/run_engine.py,"failed G1-G5 both groups; crypto 7.3% of decisions, hit 24.2% vs shuffled 34.3% (z -30); stocks 11 calls, 0 correct"
SN-S1,2026-09-11,sniper,intraday-sniper,"Sniper system (pasted autonomous-trading prompt as fixed rules: 8 setups, score gate, TP1-3 scale-out + breakeven + trailing, 0.5-1% risk sizing, 2% daily loss limit, cost veto, catalyst blackout), S1: trade scores >= 70",Selective setups run through the prompt's exit and risk engine have positive expectancy after costs and beat random entries through the same exits,Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD; Yahoo 1m + native 5m/15m/60m for SPY QQQ IWM DIA AAPL MSFT NVDA AMZN GOOGL META TSLA AVGO AMD NFLX JPM XOM; BLS CPI/jobs + FOMC calendars,crypto 2025-09-25..2026-09-10; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin: free +1.9%, 0.05%/side -28.0%, retail 3 trades (cost veto blocked 18,185); stocks free -0.0%, retail -0.4% (19 sessions)",,-30% (crypto 0.05%/side),crypto 0/0.05/0.35/0.70%/side; stocks 0/0.01/0.02/0.04%/side,1,FAIL,research/run_sniper.py,"failed G1-G4 both groups; crypto free 12,418 trades mean +0.000R PF 1.00, below random entries through the same exits (10th pct); stocks free 348 trades -0.008R (49th pct), retail 152 trades -0.168R PF 0.68"
SN-S2,2026-09-11,sniper,intraday-sniper,"Sniper system (pasted autonomous-trading prompt as fixed rules: 8 setups, score gate, TP1-3 scale-out + breakeven + trailing, 0.5-1% risk sizing, 2% daily loss limit, cost veto, catalyst blackout), S2: high conviction only, scores >= 85",Selective setups run through the prompt's exit and risk engine have positive expectancy after costs and beat random entries through the same exits,Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD; Yahoo 1m + native 5m/15m/60m for SPY QQQ IWM DIA AAPL MSFT NVDA AMZN GOOGL META TSLA AVGO AMD NFLX JPM XOM; BLS CPI/jobs + FOMC calendars,crypto 2025-09-25..2026-09-10; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin: free -2.3%, 0.05%/side -11.1%, retail 0 trades; stocks retail -0.0% (23 trades)",,-13% (crypto 0.05%/side),crypto 0/0.05/0.35/0.70%/side; stocks 0/0.01/0.02/0.04%/side,1,FAIL,research/run_sniper.py,"failed G1-G4 both groups; crypto free 2,840 trades -0.017R (4th pct of random entries); 85+ signals did no better than <70 signals; stocks free 50 trades -0.002R, retail 23 trades -0.130R"
SN-S3,2026-09-11,sniper,intraday-sniper,"Sniper system (pasted autonomous-trading prompt as fixed rules: 8 setups, score gate, TP1-3 scale-out + breakeven + trailing, 0.5-1% risk sizing, 2% daily loss limit, cost veto, catalyst blackout), S3: scanner portfolio, best-ranked candidates across the group, <=2 positions / 1% open risk",Selective setups run through the prompt's exit and risk engine have positive expectancy after costs and beat random entries through the same exits,Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD; Yahoo 1m + native 5m/15m/60m for SPY QQQ IWM DIA AAPL MSFT NVDA AMZN GOOGL META TSLA AVGO AMD NFLX JPM XOM; BLS CPI/jobs + FOMC calendars,crypto 2025-09-25..2026-09-10; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto portfolio: free +16.4%, 0.05%/side -68.4%, retail 3 trades; stocks portfolio retail -4.8%",,-69% (crypto 0.05%/side),crypto 0/0.05/0.35/0.70%/side; stocks 0/0.01/0.02/0.04%/side,1,FAIL,research/run_sniper.py,"failed G1-G4 both groups; crypto free 9,033 trades +0.007R (29th pct of random entries); stocks free 210 trades +0.017R (63rd pct), retail 125 trades -0.207R PF 0.63"
SN-S4,2026-09-11,sniper,intraday-sniper,"Sniper system (pasted autonomous-trading prompt as fixed rules: 8 setups, score gate, TP1-3 scale-out + breakeven + trailing, 0.5-1% risk sizing, 2% daily loss limit, cost veto, catalyst blackout), S4: trade only (setup, side) types whose trailing shadow record is positive after costs",Selective setups run through the prompt's exit and risk engine have positive expectancy after costs and beat random entries through the same exits,Coinbase 1m BTC/ETH/SOL/XRP/DOGE-USD; Yahoo 1m + native 5m/15m/60m for SPY QQQ IWM DIA AAPL MSFT NVDA AMZN GOOGL META TSLA AVGO AMD NFLX JPM XOM; BLS CPI/jobs + FOMC calendars,crypto 2025-09-25..2026-09-10; stocks 2026-08-14..2026-09-10,whole window (no fitted parameters),"crypto per coin: free +2.9%, 0.05%/side -2.6% (81 trades), retail 0 trades; stocks retail +0.0% (22 trades)",,-9% (crypto free),crypto 0/0.05/0.35/0.70%/side; stocks 0/0.01/0.02/0.04%/side,1,FAIL,research/run_sniper.py,"failed G1-G4 both groups; crypto free 6,220 trades +0.006R (12th pct of random entries); stocks retail 22 trades +0.177R PF 1.42 but 99.5% lower bound -0.291R and <30 trades, free 56 trades +0.192R (95th pct, bar is 99.5th)"
